feedback_id,feedback,sentiment
1,Average experience overall.,positive
2,Average experience overall.,positive
3,The product is excellent.,negative
4,Average experience overall.,positive
5,Terrible customer service.,positive
6,Loved the user interface.,neutral
7,Unhelpful and rude staff.,negative
8,Loved the user interface.,negative
9,Terrible customer service.,positive
10,Loved the user interface.,neutral
11,Fast delivery and great support.,negative
12,Worst experience I've ever had.,neutral
13,Poor quality materials used.,neutral
14,Good value for money.,neutral
15,Unhelpful and rude staff.,neutral
16,Quick resolution of my issue.,positive
17,Good value for money.,neutral
18,Loved the user interface.,negative
19,Worst experience I've ever had.,neutral
20,Terrible customer service.,negative
21,Will not recommend to others.,neutral
22,Will not recommend to others.,negative
23,Terrible customer service.,positive
24,Quick resolution of my issue.,neutral
25,Unhelpful and rude staff.,positive
26,Terrible customer service.,neutral
27,Quick resolution of my issue.,neutral
28,Exceeded my expectations!,negative
29,Terrible customer service.,negative
30,,
31,Fast delivery and great support.,positive
32,"It was okay, nothing great.",neutral
33,The product is excellent.,negative
34,Average experience overall.,negative
35,Unhelpful and rude staff.,positive
36,The product is excellent.,positive
37,Satisfied with the service.,positive
38,Quick resolution of my issue.,positive
39,Fast delivery and great support.,neutral
40,Worst experience I've ever had.,negative
41,Worst experience I've ever had.,neutral
42,The product is excellent.,negative
43,Will not recommend to others.,neutral
44,Will not recommend to others.,negative
45,Poor quality materials used.,negative
46,Good value for money.,neutral
47,Average experience overall.,negative
48,Good value for money.,positive
49,Fast delivery and great support.,positive
50,,
51,The product is excellent.,negative
52,Good value for money.,negative
53,Fast delivery and great support.,neutral
54,"It was okay, nothing great.",neutral
55,Satisfied with the service.,positive
56,Worst experience I've ever had.,neutral
57,,
58,Worst experience I've ever had.,neutral
59,Average experience overall.,neutral
60,Exceeded my expectations!,positive
61,Unhelpful and rude staff.,positive
62,The packaging was damaged.,positive
63,Loved the user interface.,positive
64,Fast delivery and great support.,positive
65,Terrible customer service.,neutral
66,,
67,Terrible customer service.,negative
68,Good value for money.,negative
69,Terrible customer service.,neutral
70,,
71,,
72,Poor quality materials used.,neutral
73,Satisfied with the service.,neutral
74,Fast delivery and great support.,negative
75,Good value for money.,neutral
76,Good value for money.,positive
77,Terrible customer service.,neutral
78,Loved the user interface.,neutral
79,The product is excellent.,positive
80,Exceeded my expectations!,positive
81,Good value for money.,positive
82,Good value for money.,negative
83,The product is excellent.,neutral
84,Quick resolution of my issue.,positive
85,The product is excellent.,neutral
86,The packaging was damaged.,positive
87,Quick resolution of my issue.,negative
88,Worst experience I've ever had.,negative
89,The product is excellent.,positive
90,Will not recommend to others.,neutral
91,Terrible customer service.,positive
92,The product is excellent.,negative
93,Satisfied with the service.,positive
94,Worst experience I've ever had.,negative
95,Unhelpful and rude staff.,positive
96,Terrible customer service.,neutral
97,The product is excellent.,neutral
98,Average experience overall.,negative
99,The packaging was damaged.,neutral
100,,
101,Terrible customer service.,negative
102,Loved the user interface.,positive
103,Loved the user interface.,negative
104,Worst experience I've ever had.,neutral
105,Quick resolution of my issue.,positive
106,Worst experience I've ever had.,negative
107,The packaging was damaged.,neutral
108,Average experience overall.,positive
109,Will not recommend to others.,negative
110,,
111,The packaging was damaged.,neutral
112,,
113,Quick resolution of my issue.,negative
114,Good value for money.,neutral
115,Satisfied with the service.,positive
116,Will not recommend to others.,neutral
117,Exceeded my expectations!,neutral
118,Poor quality materials used.,neutral
119,Poor quality materials used.,neutral
120,"It was okay, nothing great.",neutral
121,,
122,Will not recommend to others.,negative
123,Worst experience I've ever had.,positive
124,Good value for money.,neutral
125,,
126,Worst experience I've ever had.,negative
127,Unhelpful and rude staff.,positive
128,Satisfied with the service.,neutral
129,,
130,Quick resolution of my issue.,positive
131,Terrible customer service.,positive
132,Fast delivery and great support.,positive
133,Worst experience I've ever had.,negative
134,Worst experience I've ever had.,positive
135,Loved the user interface.,negative
136,,
137,Poor quality materials used.,positive
138,Quick resolution of my issue.,positive
139,Worst experience I've ever had.,negative
140,Average experience overall.,positive
141,Unhelpful and rude staff.,positive
142,Will not recommend to others.,positive
143,Good value for money.,positive
144,Unhelpful and rude staff.,positive
145,Good value for money.,neutral
146,Terrible customer service.,positive
147,Poor quality materials used.,negative
148,Fast delivery and great support.,negative
149,Average experience overall.,neutral
150,The packaging was damaged.,neutral
151,Unhelpful and rude staff.,positive
152,Loved the user interface.,positive
153,"It was okay, nothing great.",negative
154,Exceeded my expectations!,negative
155,Satisfied with the service.,neutral
156,Poor quality materials used.,neutral
157,Will not recommend to others.,neutral
158,"It was okay, nothing great.",positive
159,Will not recommend to others.,negative
160,"It was okay, nothing great.",negative
161,Loved the user interface.,positive
162,Will not recommend to others.,neutral
163,Terrible customer service.,negative
164,Satisfied with the service.,negative
165,Poor quality materials used.,positive
166,"It was okay, nothing great.",positive
167,Fast delivery and great support.,negative
168,Average experience overall.,positive
169,Fast delivery and great support.,neutral
170,Quick resolution of my issue.,negative
171,Satisfied with the service.,neutral
172,Loved the user interface.,positive
173,Will not recommend to others.,negative
174,Average experience overall.,neutral
175,Average experience overall.,positive
176,Exceeded my expectations!,neutral
177,Unhelpful and rude staff.,negative
178,Terrible customer service.,positive
179,Will not recommend to others.,negative
180,Worst experience I've ever had.,positive
181,Unhelpful and rude staff.,neutral
182,Satisfied with the service.,positive
183,Will not recommend to others.,negative
184,Poor quality materials used.,neutral
185,Quick resolution of my issue.,negative
186,Unhelpful and rude staff.,neutral
187,Will not recommend to others.,negative
188,The product is excellent.,negative
189,Average experience overall.,neutral
190,The packaging was damaged.,neutral
191,"It was okay, nothing great.",positive
192,Fast delivery and great support.,positive
193,The product is excellent.,neutral
194,Good value for money.,negative
195,Worst experience I've ever had.,positive
196,Terrible customer service.,neutral
197,Good value for money.,negative
198,Fast delivery and great support.,negative
199,The product is excellent.,neutral
200,Average experience overall.,positive
201,Loved the user interface.,negative
202,Fast delivery and great support.,negative
203,Average experience overall.,positive
204,Will not recommend to others.,positive
205,Worst experience I've ever had.,neutral
206,Satisfied with the service.,neutral
207,Fast delivery and great support.,positive
208,The product is excellent.,neutral
209,Poor quality materials used.,positive
210,Exceeded my expectations!,negative
211,,
212,,
213,,
214,Exceeded my expectations!,negative
215,Loved the user interface.,neutral
216,The product is excellent.,neutral
217,Poor quality materials used.,negative
218,Terrible customer service.,positive
219,Exceeded my expectations!,neutral
220,Unhelpful and rude staff.,neutral
221,Satisfied with the service.,neutral
222,Poor quality materials used.,positive
223,Fast delivery and great support.,positive
224,Unhelpful and rude staff.,negative
225,Exceeded my expectations!,positive
226,Terrible customer service.,neutral
227,Unhelpful and rude staff.,positive
228,Exceeded my expectations!,positive
229,The packaging was damaged.,positive
230,Exceeded my expectations!,neutral
231,Quick resolution of my issue.,negative
232,,
233,The packaging was damaged.,negative
234,,
235,Worst experience I've ever had.,neutral
236,"It was okay, nothing great.",neutral
237,Terrible customer service.,positive
238,The product is excellent.,neutral
239,Fast delivery and great support.,neutral
240,,
241,Good value for money.,neutral
242,Exceeded my expectations!,positive
243,"It was okay, nothing great.",neutral
244,Loved the user interface.,positive
245,Fast delivery and great support.,negative
246,Average experience overall.,positive
247,Quick resolution of my issue.,negative
248,,
249,The product is excellent.,negative
250,Quick resolution of my issue.,positive
251,Worst experience I've ever had.,neutral
252,,
253,"It was okay, nothing great.",negative
254,The product is excellent.,positive
255,,
256,The product is excellent.,negative
257,,
258,Unhelpful and rude staff.,neutral
259,Satisfied with the service.,negative
260,The product is excellent.,negative
261,Loved the user interface.,neutral
262,Satisfied with the service.,negative
263,Good value for money.,neutral
264,The product is excellent.,negative
265,Will not recommend to others.,positive
266,Unhelpful and rude staff.,negative
267,Poor quality materials used.,neutral
268,Worst experience I've ever had.,positive
269,Good value for money.,positive
270,Terrible customer service.,negative
271,,
272,Satisfied with the service.,neutral
273,Average experience overall.,negative
274,"It was okay, nothing great.",negative
275,Quick resolution of my issue.,positive
276,,
277,Unhelpful and rude staff.,negative
278,Poor quality materials used.,positive
279,Satisfied with the service.,positive
280,"It was okay, nothing great.",positive
281,"It was okay, nothing great.",positive
282,,
283,Good value for money.,negative
284,Quick resolution of my issue.,positive
285,Terrible customer service.,positive
286,The packaging was damaged.,positive
287,Will not recommend to others.,neutral
288,Exceeded my expectations!,neutral
289,Poor quality materials used.,neutral
290,The product is excellent.,neutral
291,Average experience overall.,neutral
292,The product is excellent.,negative
293,Quick resolution of my issue.,neutral
294,"It was okay, nothing great.",negative
295,Quick resolution of my issue.,neutral
296,The packaging was damaged.,positive
297,Fast delivery and great support.,negative
298,,
299,Average experience overall.,negative
